date,precipitation,snow,tempHigh,tempLow
2017-01-05,0,0,44,29
2017-01-06,0.25,0,43,32
2017-01-07,0.6,0.5,32,20
2017-01-08,0,0,27,15
2017-01-09,0,0,31,9
2017-01-10,0,0,48,24
2017-01-11,0,0,57,40
2017-01-12,0,0,73,54
2017-01-13,0.01,0,76,50
2017-01-14,0,0,55,42
2017-01-15,0.02,0,57,40
2017-01-16,0,0,51,44
2017-01-17,0.04,0,62,47
2017-01-18,0,0,70,45
2017-01-19,0,0,63,36
2017-01-20,0.09,0,59,46
2017-01-21,0.38,0,55,51
2017-01-22,0.09,0,56,53
2017-01-23,0.28,0,60,43
2017-01-24,0,0,63,41
2017-01-25,0,0,73,36
2017-01-26,0.06,0,70,43
2017-01-27,0,0,51,30
2017-01-28,0,0,52,27
2017-01-29,0.02,0,54,30
2017-01-30,0,0,46,30
2017-01-31,0,0,68,31
2017-02-01,0,0,70,42
2017-02-02,0,0,61,37
2017-02-03,0.06,0,49,34
2017-02-04,0,0,45,26
2017-02-05,0.01,0,60,27
2017-02-06,0,0,68,31
2017-02-07,0,0,76,49
2017-02-08,0.09,0,74,54
2017-02-09,0.11,0,60,32
2017-02-10,0,0,51,26
2017-02-11,0,0,73,41
2017-02-12,0.05,0,83,58
2017-02-13,0,0,64,37
2017-02-14,0,0,64,30
2017-02-15,0.34,0,56,39
2017-02-16,0,0,53,32
2017-02-17,0,0,66,34
2017-02-18,0,0,73,37
2017-02-19,0,0,73,44
2017-02-20,0,0,73,42
2017-02-21,0,0,66,44
2017-02-22,0,0,70,51
2017-02-23,0,0,77,50
2017-02-24,0,0,80,47
2017-02-25,0,0,81,52
2017-02-26,0,0,56,37
2017-02-27,0,0,66,35
2017-02-28,0,0,77,50
2017-03-01,0.97,0,79,59
2017-03-02,0,0,62,39
2017-03-03,0,0,54,31
2017-03-04,0,0,54,25
2017-03-05,0,0,53,30
2017-03-06,0,0,65,34
2017-03-07,0,0,74,49
2017-03-08,0.05,0,69,46
2017-03-09,0,0,75,37
2017-03-10,0,0,69,41
2017-03-11,0,0,50,31
2017-03-12,0.03,0.3,48,30
2017-03-13,0.56,0,42,26
2017-03-14,0.25,0,54,30
2017-03-15,0,0,40,24
2017-03-16,0,0,50,24
2017-03-17,0.03,0,58,23
2017-03-18,0.5,0,64,44
2017-03-19,0,0,57,36
2017-03-20,0,0,66,30
2017-03-21,0.2,0,82,50
2017-03-22,0,0,64,39
2017-03-23,0,0,56,31
2017-03-24,0,0,71,37
2017-03-25,0,0,76,52
2017-03-26,0,0,77,52
2017-03-27,0.06,0,79,59
2017-03-28,0.06,0,80,60
2017-03-29,0,0,73,55
2017-03-30,0,0,67,55
2017-03-31,0.42,0,79,58
2017-04-01,0,0,75,49
2017-04-02,0,0,69,49
2017-04-03,0.4,0,76,50
2017-04-04,0,0,82,63
2017-04-05,0.32,0,78,53
2017-04-06,0.09,0,70,50
2017-04-07,0,0,59,43
2017-04-08,0,0,67,34
2017-04-09,0,0,77,38
2017-04-10,0,0,78,49
2017-04-11,0,0,82,55
2017-04-12,0,0,83,56
2017-04-13,0,0,80,54
2017-04-14,0,0,81,53
2017-04-15,0,0,85,61
2017-04-16,0,0,82,60
2017-04-17,0.05,0,86,62
2017-04-18,0.03,0,74,61
2017-04-19,0,0,69,55
2017-04-20,0,0,85,56
2017-04-21,0.21,0,89,63
2017-04-22,0.09,0,87,56
2017-04-23,0.77,0,56,53
2017-04-24,4.51,0,60,53
2017-04-25,2.17,0,70,58
2017-04-26,0,0,81,56
2017-04-27,0,0,82,62
2017-04-28,0,0,88,69
2017-04-29,0,0,89,72
2017-04-30,0.02,0,86,70
2017-05-01,0.29,0,85,68
2017-05-02,0,0,77,60
2017-05-03,0,0,79,53
2017-05-04,0.29,0,80,57
2017-05-05,1.48,0,78,56
2017-05-06,0.02,0,67,53
2017-05-07,0,0,69,45
2017-05-08,0,0,71,43
2017-05-09,0.01,0,64,43
2017-05-10,0.45,0,83,57
2017-05-11,0.48,0,84,61
2017-05-12,0.07,0,61,54
2017-05-13,0.23,0,66,52
2017-05-14,0,0,81,49
2017-05-15,0,0,85,60